Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,Date,Captain
South Africa,won,1 runs,0,won,1st,New Zealand,Hobart,12/11/1997,Stephen Fleming (NZ)
South Africa,won,1 runs,0,won,1st,Pakistan,Sharjah,10/30/2013,
Sri Lanka,won,1 runs,0,won,1st,Australia,Dambulla,2/22/2004,
West Indies,lost,1 runs,0,lost,2nd,England,Providence,3/20/2009,
West Indies,lost,1 runs,0,won,2nd,Australia,Basseterre,7/4/2008,
West Indies,lost,1 runs,0,won,2nd,South Africa,Bridgetown,5/11/2005,
West Indies,won,1 runs,0,lost,1st,India,Kingston,5/20/2006,
West Indies,won,1 runs,0,won,2nd,Pakistan,Bridgetown,5/2/2011,
England,lost,1 wickets,0,lost,1st,New Zealand,The Oval,6/25/2008,Daniel Vettori (NZ)
New Zealand,lost,1 wickets,0,won,1st,South Africa,Potchefstroom,1/25/2013,Brendon McCullum (NZ)
New Zealand,won,1 wickets,0,won,2nd,England,The Oval,6/25/2008,Daniel Vettori (NZ)
New Zealand,won,1 wickets,0,won,2nd,Sri Lanka,Queenstown,12/31/2006,Daniel Vettori (NZ)
South Africa,won,1 wickets,0,lost,2nd,New Zealand,Potchefstroom,1/25/2013,Brendon McCullum (NZ)
Sri Lanka,lost,1 wickets,0,lost,1st,New Zealand,Queenstown,12/31/2006,Daniel Vettori (NZ)
Sri Lanka,lost,1 wickets,0,lost,1st,West Indies,Port of Spain,4/10/2008,
West Indies,won,1 wickets,0,won,2nd,Sri Lanka,Port of Spain,4/10/2008,
Australia,lost,1 wickets,1,won,1st,South Africa,Johannesburg,3/12/2006,
England,lost,1 wickets,1,lost,1st,West Indies,Bridgetown,4/1/1998,
England,won,1 wickets,1,won,2nd,West Indies,Bridgetown,4/21/2007,
India,won,1 wickets,1,won,2nd,New Zealand,Auckland,1/11/2003,Stephen Fleming (NZ)
New Zealand,lost,1 wickets,1,lost,1st,India,Auckland,1/11/2003,Stephen Fleming (NZ)
Pakistan,won,1 wickets,1,lost,2nd,South Africa,Abu Dhabi,10/31/2010,
Pakistan,won,1 wickets,1,lost,2nd,South Africa,Dubai (DSC),11/5/2010,
South Africa,lost,1 wickets,1,won,1st,Pakistan,Abu Dhabi,10/31/2010,
South Africa,lost,1 wickets,1,won,1st,Pakistan,Dubai (DSC),11/5/2010,
South Africa,won,1 wickets,1,lost,2nd,Australia,Johannesburg,3/12/2006,
West Indies,lost,1 wickets,1,lost,1st,England,Bridgetown,4/21/2007,
West Indies,won,1 wickets,1,won,2nd,England,Bridgetown,4/1/1998,
England,lost,1 wickets,2,lost,1st,Sri Lanka,Adelaide,1/23/1999,
India,lost,1 wickets,2,lost,1st,Pakistan,Dhaka,3/2/2014,
India,won,1 wickets,2,won,2nd,Sri Lanka,Port of Spain,7/11/2013,
Pakistan,won,1 wickets,2,won,2nd,India,Dhaka,3/2/2014,
South Africa,won,1 wickets,2,lost,2nd,West Indies,Port of Spain,6/3/2010,
Sri Lanka,lost,1 wickets,2,lost,1st,India,Port of Spain,7/11/2013,
Sri Lanka,won,1 wickets,2,won,2nd,England,Adelaide,1/23/1999,
West Indies,lost,1 wickets,2,won,1st,South Africa,Port of Spain,6/3/2010,
Australia,lost,1 wickets,3,won,1st,New Zealand,Hamilton,2/20/2007,Stephen Fleming (NZ)
Australia,won,1 wickets,3,lost,2nd,England,Brisbane,1/17/2014,
England,lost,1 wickets,3,won,1st,Australia,Brisbane,1/17/2014,
New Zealand,won,1 wickets,3,lost,2nd,Australia,Hamilton,2/20/2007,Stephen Fleming (NZ)
Australia,lost,1 wickets,5,lost,1st,England,Manchester,6/27/2010,
Australia,won,1 wickets,5,lost,2nd,South Africa,Durban,3/10/2006,
England,won,1 wickets,5,won,2nd,Australia,Manchester,6/27/2010,
New Zealand,lost,1 wickets,5,lost,1st,West Indies,Kingston,3/26/1996,Lee Germon (NZ)
South Africa,lost,1 wickets,5,won,1st,Australia,Durban,3/10/2006,
West Indies,won,1 wickets,5,won,2nd,New Zealand,Kingston,3/26/1996,Lee Germon (NZ)
India,won,1 wickets,7,won,2nd,West Indies,Cuttack,11/29/2011,
Sri Lanka,won,1 wickets,7,won,2nd,West Indies,Colombo (RPS),11/1/2015,
West Indies,lost,1 wickets,7,lost,1st,India,Cuttack,11/29/2011,
West Indies,lost,1 wickets,7,lost,1st,Sri Lanka,Colombo (RPS),11/1/2015,
South Africa,lost,1 wickets,9,lost,1st,West Indies,Port Elizabeth,1/25/2015,
West Indies,won,1 wickets,9,won,2nd,South Africa,Port Elizabeth,1/25/2015,
South Africa,won,1 wickets,10,lost,2nd,Sri Lanka,Providence,3/28/2007,
Sri Lanka,lost,1 wickets,10,won,1st,South Africa,Providence,3/28/2007,
India,lost,1 wickets,14,lost,1st,West Indies,Kingston,6/30/2013,
West Indies,won,1 wickets,14,won,2nd,India,Kingston,6/30/2013,
New Zealand,won,1 wickets,26,won,2nd,South Africa,Paarl,1/19/2013,Brendon McCullum (NZ)
South Africa,lost,1 wickets,26,lost,1st,New Zealand,Paarl,1/19/2013,Brendon McCullum (NZ)
Australia,lost,1 wickets,34,won,1st,Sri Lanka,Melbourne,11/3/2010,
Sri Lanka,won,1 wickets,34,lost,2nd,Australia,Melbourne,11/3/2010,
New Zealand,won,1 wickets,81,lost,2nd,Sri Lanka,Cardiff,6/9/2013,Brendon McCullum (NZ)
Sri Lanka,lost,1 wickets,81,won,1st,New Zealand,Cardiff,6/9/2013,Brendon McCullum (NZ)
Australia,lost,1 wickets,161,won,1st,New Zealand,Auckland,2/28/2015,Brendon McCullum (NZ)
New Zealand,won,1 wickets,161,lost,2nd,Australia,Auckland,2/28/2015,Brendon McCullum (NZ)
Australia,lost,10 runs,0,lost,2nd,West Indies,Mumbai (BS),10/18/2006,
Australia,lost,10 runs,0,won,2nd,Pakistan,Leeds,5/23/1999,
Australia,won,10 runs,0,lost,1st,Pakistan,Lord's,9/4/2004,
Australia,won,10 runs,0,won,1st,England,Sydney,2/10/1999,
Australia,won,10 runs,0,won,1st,New Zealand,Wellington,2/19/2005,Stephen Fleming (NZ)
England,lost,10 runs,0,lost,2nd,Australia,Sydney,2/10/1999,
England,won,10 runs,0,lost,1st,New Zealand,Cardiff,6/16/2013,Brendon McCullum (NZ)
India,lost,10 runs,0,won,2nd,South Africa,Nagpur,3/19/2000,
India,won,10 runs,0,won,1st,Pakistan,Delhi,1/6/2013,
India,won,10 runs,0,won,1st,South Africa,Colombo (RPS),9/25/2002,
New Zealand,lost,10 runs,0,lost,2nd,Australia,Wellington,2/19/2005,Stephen Fleming (NZ)
New Zealand,lost,10 runs,0,won,2nd,England,Cardiff,6/16/2013,Brendon McCullum (NZ)
Pakistan,lost,10 runs,0,lost,2nd,India,Delhi,1/6/2013,
Pakistan,lost,10 runs,0,won,2nd,Australia,Lord's,9/4/2004,
Pakistan,won,10 runs,0,lost,1st,Australia,Leeds,5/23/1999,
South Africa,lost,10 runs,0,lost,2nd,India,Colombo (RPS),9/25/2002,
South Africa,won,10 runs,0,lost,1st,India,Nagpur,3/19/2000,
West Indies,won,10 runs,0,won,1st,Australia,Mumbai (BS),10/18/2006,
India,lost,10 wickets,32,lost,1st,West Indies,Bridgetown,5/3/1997,
West Indies,won,10 wickets,32,won,2nd,India,Bridgetown,5/3/1997,
England,lost,10 wickets,63,won,1st,Sri Lanka,Colombo (RPS),3/26/2011,
Sri Lanka,won,10 wickets,63,lost,2nd,England,Colombo (RPS),3/26/2011,
India,lost,10 wickets,85,lost,1st,South Africa,Kolkata,11/25/2005,
South Africa,won,10 wickets,85,won,2nd,India,Kolkata,11/25/2005,
England,won,10 wickets,88,won,2nd,West Indies,Chester-le-Street,7/15/2000,
West Indies,lost,10 wickets,88,lost,1st,England,Chester-le-Street,7/15/2000,
England,lost,10 wickets,97,lost,1st,Sri Lanka,Colombo (SSC),3/27/2001,
Sri Lanka,won,10 wickets,97,won,2nd,England,Colombo (SSC),3/27/2001,
India,won,10 wickets,101,won,2nd,West Indies,Port of Spain,4/27/1997,
West Indies,lost,10 wickets,101,lost,1st,India,Port of Spain,4/27/1997,
England,lost,10 wickets,107,lost,1st,New Zealand,Hamilton,2/12/2008,Daniel Vettori (NZ)
New Zealand,won,10 wickets,107,won,2nd,England,Hamilton,2/12/2008,Daniel Vettori (NZ)
India,lost,10 wickets,124,won,1st,South Africa,Sharjah,3/22/2000,
South Africa,won,10 wickets,124,lost,2nd,India,Sharjah,3/22/2000,
Australia,lost,10 wickets,138,lost,1st,New Zealand,Wellington,2/16/2007,Stephen Fleming (NZ)
New Zealand,won,10 wickets,138,won,2nd,Australia,Wellington,2/16/2007,Stephen Fleming (NZ)
England,won,10 wickets,145,won,2nd,Sri Lanka,Nottingham,7/6/2011,
Sri Lanka,lost,10 wickets,145,lost,1st,England,Nottingham,7/6/2011,
Pakistan,lost,10 wickets,159,won,1st,West Indies,Providence,5/5/2011,
West Indies,won,10 wickets,159,lost,2nd,Pakistan,Providence,5/5/2011,
Australia,won,10 wickets,163,lost,2nd,West Indies,Adelaide,1/26/2001,
West Indies,lost,10 wickets,163,won,1st,Australia,Adelaide,1/26/2001,
Pakistan,won,10 wickets,175,lost,2nd,West Indies,Dhaka,3/23/2011,
West Indies,lost,10 wickets,175,won,1st,Pakistan,Dhaka,3/23/2011,
England,won,10 wickets,215,lost,2nd,South Africa,Nottingham,8/26/2008,
South Africa,lost,10 wickets,215,won,1st,England,Nottingham,8/26/2008,
Pakistan,lost,10 wickets,216,lost,1st,South Africa,Cape Town,2/11/2007,
South Africa,won,10 wickets,216,won,2nd,Pakistan,Cape Town,2/11/2007,
England,lost,10 wickets,217,won,1st,Sri Lanka,Dambulla,11/18/2003,
Sri Lanka,won,10 wickets,217,lost,2nd,England,Dambulla,11/18/2003,
Australia,won,10 wickets,226,lost,2nd,England,Sydney,1/23/2003,
England,lost,10 wickets,226,won,1st,Australia,Sydney,1/23/2003,
England,won,10 wickets,227,won,2nd,Sri Lanka,Manchester,5/28/2014,
Sri Lanka,lost,10 wickets,227,lost,1st,England,Manchester,5/28/2014,
New Zealand,won,10 wickets,250,lost,2nd,Sri Lanka,Christchurch,12/28/2015,Brendon McCullum (NZ)
Sri Lanka,lost,10 wickets,250,won,1st,New Zealand,Christchurch,12/28/2015,Brendon McCullum (NZ)
India,lost,100 runs,0,won,2nd,Sri Lanka,Karachi,7/6/2008,
Sri Lanka,won,100 runs,0,lost,1st,India,Karachi,7/6/2008,
India,won,102 runs,0,lost,1st,West Indies,Port of Spain,7/5/2013,
West Indies,lost,102 runs,0,won,2nd,India,Port of Spain,7/5/2013,
Australia,won,103 runs,0,lost,1st,West Indies,North Sound,3/27/2007,
India,lost,103 runs,0,won,2nd,West Indies,North Sound,6/13/2011,
West Indies,lost,103 runs,0,won,2nd,Australia,North Sound,3/27/2007,
West Indies,won,103 runs,0,lost,1st,India,North Sound,6/13/2011,
England,won,104 runs,0,lost,1st,India,Southampton,8/21/2007,
India,lost,104 runs,0,lost,2nd,Pakistan,Perth,1/28/2000,
India,lost,104 runs,0,won,2nd,England,Southampton,8/21/2007,
Pakistan,lost,104 runs,0,won,2nd,Sri Lanka,Lahore,2/19/2000,
Pakistan,won,104 runs,0,won,1st,India,Perth,1/28/2000,
Sri Lanka,won,104 runs,0,lost,1st,Pakistan,Lahore,2/19/2000,
Australia,won,105 runs,0,won,1st,New Zealand,Hobart,1/14/2007,Stephen Fleming (NZ)
India,won,105 runs,0,won,1st,New Zealand,Dambulla,8/25/2010,Ross Taylor (NZ)
New Zealand,lost,105 runs,0,lost,2nd,Australia,Hobart,1/14/2007,Stephen Fleming (NZ)
New Zealand,lost,105 runs,0,lost,2nd,India,Dambulla,8/25/2010,Ross Taylor (NZ)
Australia,won,106 runs,0,lost,1st,New Zealand,Christchurch,2/22/2005,Stephen Fleming (NZ)
India,lost,106 runs,0,lost,2nd,Pakistan,Jamshedpur,4/9/2005,
India,lost,106 runs,0,lost,2nd,South Africa,Cape Town,11/26/2006,
New Zealand,lost,106 runs,0,lost,2nd,Sri Lanka,Sharjah,4/10/2001,
New Zealand,lost,106 runs,0,won,2nd,Australia,Christchurch,2/22/2005,Stephen Fleming (NZ)
New Zealand,lost,106 runs,0,won,2nd,Sri Lanka,Colombo (SSC),7/31/2001,Stephen Fleming (NZ)
Pakistan,won,106 runs,0,won,1st,India,Jamshedpur,4/9/2005,
South Africa,won,106 runs,0,won,1st,India,Cape Town,11/26/2006,
Sri Lanka,won,106 runs,0,lost,1st,New Zealand,Colombo (SSC),7/31/2001,Stephen Fleming (NZ)
Sri Lanka,won,106 runs,0,won,1st,New Zealand,Sharjah,4/10/2001,
Australia,won,107 runs,0,won,1st,Sri Lanka,Melbourne,1/11/2013,
England,lost,107 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),10/13/2007,
England,won,107 runs,0,lost,1st,Pakistan,Birmingham,8/31/1996,
New Zealand,won,107 runs,0,lost,1st,West Indies,Lord's,7/10/2004,Stephen Fleming (NZ)
Pakistan,lost,107 runs,0,won,2nd,England,Birmingham,8/31/1996,
Sri Lanka,lost,107 runs,0,lost,2nd,Australia,Melbourne,1/11/2013,
Sri Lanka,won,107 runs,0,won,1st,England,Colombo (RPS),10/13/2007,
West Indies,lost,107 runs,0,won,2nd,New Zealand,Lord's,7/10/2004,Stephen Fleming (NZ)
England,lost,108 runs,0,lost,2nd,Pakistan,Birmingham,6/7/2001,
England,lost,108 runs,0,won,2nd,South Africa,Cape Town,2/6/2005,
New Zealand,won,108 runs,0,lost,1st,Sri Lanka,Dunedin,1/23/2015,Brendon McCullum (NZ)
Pakistan,won,108 runs,0,won,1st,England,Birmingham,6/7/2001,
South Africa,won,108 runs,0,lost,1st,England,Cape Town,2/6/2005,
Sri Lanka,lost,108 runs,0,won,2nd,New Zealand,Dunedin,1/23/2015,Brendon McCullum (NZ)
Sri Lanka,won,108 runs,0,lost,1st,West Indies,Nairobi (Gym),10/4/2000,
West Indies,lost,108 runs,0,won,2nd,Sri Lanka,Nairobi (Gym),10/4/2000,
Australia,lost,109 runs,0,won,2nd,South Africa,Bloemfontein,4/13/1997,
South Africa,won,109 runs,0,lost,1st,Australia,Bloemfontein,4/13/1997,
England,lost,11 runs,0,won,2nd,New Zealand,Ahmedabad,2/14/1996,Lee Germon (NZ)
England,lost,11 runs,0,won,2nd,Sri Lanka,Sydney,2/3/1999,
New Zealand,lost,11 runs,0,lost,2nd,Pakistan,Gujranwala,12/4/1996,Lee Germon (NZ)
New Zealand,won,11 runs,0,lost,1st,England,Ahmedabad,2/14/1996,Lee Germon (NZ)
New Zealand,won,11 runs,0,won,1st,Sri Lanka,Sharjah,4/9/2002,Stephen Fleming (NZ)
Pakistan,won,11 runs,0,won,1st,New Zealand,Gujranwala,12/4/1996,Lee Germon (NZ)
Pakistan,won,11 runs,0,won,1st,Sri Lanka,Colombo (RPS),2/26/2011,
Pakistan,won,11 runs,0,won,1st,Sri Lanka,Sharjah,12/18/2013,
Sri Lanka,lost,11 runs,0,lost,2nd,New Zealand,Sharjah,4/9/2002,Stephen Fleming (NZ)
Sri Lanka,lost,11 runs,0,lost,2nd,Pakistan,Colombo (RPS),2/26/2011,
Sri Lanka,lost,11 runs,0,lost,2nd,Pakistan,Sharjah,12/18/2013,
Sri Lanka,won,11 runs,0,lost,1st,England,Sydney,2/3/1999,
Australia,won,110 runs,0,won,1st,India,Brisbane,2/19/2012,
England,won,110 runs,0,lost,1st,Sri Lanka,The Oval,6/28/2011,
India,lost,110 runs,0,lost,2nd,Australia,Brisbane,2/19/2012,
New Zealand,won,110 runs,0,won,1st,Pakistan,Pallekele,3/8/2011,Daniel Vettori (NZ)
Pakistan,lost,110 runs,0,lost,2nd,New Zealand,Pallekele,3/8/2011,Daniel Vettori (NZ)
Pakistan,lost,110 runs,0,lost,2nd,West Indies,Sharjah,2/17/2002,
Pakistan,won,110 runs,0,won,1st,Sri Lanka,Paarl,4/9/1998,
Sri Lanka,lost,110 runs,0,lost,2nd,Pakistan,Paarl,4/9/1998,
Sri Lanka,lost,110 runs,0,won,2nd,England,The Oval,6/28/2011,
West Indies,won,110 runs,0,won,1st,Pakistan,Sharjah,2/17/2002,
Australia,won,111 runs,0,lost,1st,England,Melbourne,2/14/2015,
Australia,won,111 runs,0,won,1st,England,Nottingham,9/17/2009,
England,lost,111 runs,0,lost,2nd,Australia,Nottingham,9/17/2009,
England,lost,111 runs,0,won,2nd,Australia,Melbourne,2/14/2015,
Australia,won,112 runs,0,lost,1st,England,Perth,2/1/2015,
England,lost,112 runs,0,lost,2nd,South Africa,Cape Town,11/27/2009,
England,lost,112 runs,0,won,2nd,Australia,Perth,2/1/2015,
England,won,112 runs,0,won,1st,Pakistan,Cape Town,2/22/2003,
India,lost,112 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),8/29/2008,
New Zealand,lost,112 runs,0,lost,2nd,Sri Lanka,Mumbai,3/18/2011,Ross Taylor (NZ)
Pakistan,lost,112 runs,0,lost,2nd,England,Cape Town,2/22/2003,
South Africa,won,112 runs,0,won,1st,England,Cape Town,11/27/2009,
Sri Lanka,won,112 runs,0,won,1st,India,Colombo (RPS),8/29/2008,
Sri Lanka,won,112 runs,0,won,1st,New Zealand,Mumbai,3/18/2011,Ross Taylor (NZ)
Australia,won,113 runs,0,lost,1st,West Indies,Melbourne,2/7/2010,
Pakistan,won,113 runs,0,lost,1st,Sri Lanka,Sharjah,12/22/2013,
Sri Lanka,lost,113 runs,0,won,2nd,Pakistan,Sharjah,12/22/2013,
Sri Lanka,won,113 runs,0,lost,1st,West Indies,Providence,4/1/2007,
West Indies,lost,113 runs,0,won,2nd,Australia,Melbourne,2/7/2010,
West Indies,lost,113 runs,0,won,2nd,Sri Lanka,Providence,4/1/2007,
Australia,won,114 runs,0,lost,1st,New Zealand,Hobart,12/20/2007,Daniel Vettori (NZ)
England,won,114 runs,0,lost,1st,New Zealand,Chester-le-Street,6/15/2008,Daniel Vettori (NZ)
England,won,114 runs,0,lost,1st,West Indies,Southampton,6/16/2012,
New Zealand,lost,114 runs,0,won,2nd,Australia,Hobart,12/20/2007,Daniel Vettori (NZ)
New Zealand,lost,114 runs,0,won,2nd,England,Chester-le-Street,6/15/2008,Daniel Vettori (NZ)
South Africa,won,114 runs,0,won,1st,West Indies,Bloemfontein,2/5/1999,
West Indies,lost,114 runs,0,lost,2nd,South Africa,Bloemfontein,2/5/1999,
West Indies,lost,114 runs,0,won,2nd,England,Southampton,6/16/2012,
New Zealand,lost,115 runs,0,won,2nd,South Africa,Centurion,10/25/2000,Stephen Fleming (NZ)
Pakistan,lost,115 runs,0,lost,2nd,Sri Lanka,Abu Dhabi,5/22/2007,
Pakistan,lost,115 runs,0,lost,2nd,Sri Lanka,Mohali,5/24/1997,
Pakistan,lost,115 runs,0,won,2nd,Sri Lanka,Benoni,4/15/1998,
South Africa,won,115 runs,0,lost,1st,New Zealand,Centurion,10/25/2000,Stephen Fleming (NZ)
Sri Lanka,won,115 runs,0,lost,1st,Pakistan,Benoni,4/15/1998,
Sri Lanka,won,115 runs,0,won,1st,Pakistan,Abu Dhabi,5/22/2007,
Sri Lanka,won,115 runs,0,won,1st,Pakistan,Mohali,5/24/1997,
Australia,won,116 runs,0,lost,1st,Sri Lanka,Melbourne (Docklands),1/13/2006,
Australia,won,116 runs,0,won,1st,West Indies,Melbourne,1/14/2005,
India,lost,116 runs,0,lost,2nd,Pakistan,Sharjah,4/8/1999,
Pakistan,won,116 runs,0,won,1st,India,Sharjah,4/8/1999,
Sri Lanka,lost,116 runs,0,won,2nd,Australia,Melbourne (Docklands),1/13/2006,
West Indies,lost,116 runs,0,lost,2nd,Australia,Melbourne,1/14/2005,
Pakistan,lost,117 runs,0,lost,2nd,South Africa,Sharjah,11/11/2013,
South Africa,won,117 runs,0,won,1st,Pakistan,Sharjah,11/11/2013,
Australia,lost,118 runs,0,won,2nd,India,Indore,3/31/2001,
India,won,118 runs,0,lost,1st,Australia,Indore,3/31/2001,
Pakistan,won,118 runs,0,won,1st,Sri Lanka,Sharjah,10/18/1999,
Sri Lanka,lost,118 runs,0,lost,2nd,Pakistan,Sharjah,10/18/1999,
England,lost,119 runs,0,lost,2nd,Sri Lanka,Dambulla,10/1/2007,
New Zealand,won,119 runs,0,won,1st,Pakistan,Napier,2/3/2015,Brendon McCullum (NZ)
Pakistan,lost,119 runs,0,lost,2nd,New Zealand,Napier,2/3/2015,Brendon McCullum (NZ)
Pakistan,lost,119 runs,0,won,2nd,Sri Lanka,Lahore,10/16/2004,
Sri Lanka,won,119 runs,0,lost,1st,Pakistan,Lahore,10/16/2004,
Sri Lanka,won,119 runs,0,won,1st,England,Dambulla,10/1/2007,
Australia,lost,12 runs,0,lost,2nd,Pakistan,Adelaide,12/15/1996,
Australia,won,12 runs,0,won,1st,New Zealand,Auckland,3/6/2010,Daniel Vettori (NZ)
India,lost,12 runs,0,lost,2nd,Pakistan,Rawalpindi,3/16/2004,
India,lost,12 runs,0,lost,2nd,Sri Lanka,Dambulla,7/18/2004,
India,won,12 runs,0,won,1st,Sri Lanka,Singapore,4/3/1996,
New Zealand,lost,12 runs,0,lost,2nd,Australia,Auckland,3/6/2010,Daniel Vettori (NZ)
New Zealand,lost,12 runs,0,won,2nd,Pakistan,Singapore,8/20/2000,Stephen Fleming (NZ)
Pakistan,lost,12 runs,0,lost,2nd,Sri Lanka,Fatullah,2/25/2014,
Pakistan,lost,12 runs,0,lost,2nd,Sri Lanka,Visakhapatnam,3/27/1999,
Pakistan,lost,12 runs,0,won,2nd,Sri Lanka,Dambulla,5/18/2003,
Pakistan,won,12 runs,0,lost,1st,New Zealand,Singapore,8/20/2000,Stephen Fleming (NZ)
Pakistan,won,12 runs,0,won,1st,Australia,Adelaide,12/15/1996,
Pakistan,won,12 runs,0,won,1st,India,Rawalpindi,3/16/2004,
Sri Lanka,lost,12 runs,0,lost,2nd,India,Singapore,4/3/1996,
Sri Lanka,won,12 runs,0,lost,1st,Pakistan,Dambulla,5/18/2003,
Sri Lanka,won,12 runs,0,won,1st,India,Dambulla,7/18/2004,
Sri Lanka,won,12 runs,0,won,1st,Pakistan,Fatullah,2/25/2014,
Sri Lanka,won,12 runs,0,won,1st,Pakistan,Visakhapatnam,3/27/1999,
New Zealand,won,120 runs,0,won,1st,Sri Lanka,Dunedin,1/25/2015,Brendon McCullum (NZ)
Sri Lanka,lost,120 runs,0,lost,2nd,New Zealand,Dunedin,1/25/2015,Brendon McCullum (NZ)
England,won,121 runs,0,won,1st,Pakistan,Southampton,9/22/2010,
India,lost,121 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),8/5/2001,
Pakistan,lost,121 runs,0,lost,2nd,England,Southampton,9/22/2010,
Sri Lanka,won,121 runs,0,won,1st,India,Colombo (RPS),8/5/2001,
Australia,won,122 runs,0,lost,1st,New Zealand,Napier,3/5/2005,Stephen Fleming (NZ)
England,lost,122 runs,0,won,2nd,South Africa,The Oval,5/22/1999,
New Zealand,lost,122 runs,0,won,2nd,Australia,Napier,3/5/2005,Stephen Fleming (NZ)
South Africa,won,122 runs,0,lost,1st,England,The Oval,5/22/1999,
India,lost,123 runs,0,lost,2nd,Pakistan,Bangalore,4/4/1999,
Pakistan,won,123 runs,0,won,1st,India,Bangalore,4/4/1999,
India,lost,124 runs,0,won,2nd,West Indies,Kochi,10/8/2014,
New Zealand,lost,124 runs,0,lost,2nd,Pakistan,Lahore,12/1/2003,
